codigo_uf;uf;codigo_do_territorio;territorio;tipo_rural_ou_cidadania;municipio;ibge
31;Minas Gerais;117;Baixo Jequitinhonha - MG;RC ;Salto da Divisa;3157104
31;Minas Gerais;7;Alto Rio Pardo - MG;RC ;Santa Cruz de Salinas;3157377
31;Minas Gerais;58;Médio Rio Doce - MG;TR ;Santa Efigênia de Minas;3157500
31;Minas Gerais;63;Noroeste De Minas - MG;RC ;Santa Fé de Minas;3157609
31;Minas Gerais;99;Vale Do Mucuri - MG;RC ;Santa Helena de Minas;3157658
31;Minas Gerais;117;Baixo Jequitinhonha - MG;RC ;Santa Maria do Salto;3158102
31;Minas Gerais;149;Alto Saçui Gr and e - MG;TR ;Santa Maria do Suaçuí;3158201
31;Minas Gerais;117;Baixo Jequitinhonha - MG;RC ;Santo Antônio do Jacinto;3160306
31;Minas Gerais;7;Alto Rio Pardo - MG;RC ;Santo Antônio do Retiro;3160454
31;Minas Gerais;48;Sertão de Minas - MG;RC ;Santo Hipólito;3160603
31;Minas Gerais;150;São Mateus - MG;TR ;São Félix de Minas;3161056
31;Minas Gerais;58;Médio Rio Doce - MG;TR ;São Geraldo da Piedade;3161601
31;Minas Gerais;63;Noroeste De Minas - MG;RC ;São Gonçalo do Abaeté;3161700
31;Minas Gerais;150;São Mateus - MG;TR ;São João do Manteninha;3162575
31;Minas Gerais;7;Alto Rio Pardo - MG;RC ;São João do Paraíso;3162708
31;Minas Gerais;58;Médio Rio Doce - MG;TR ;São José da Safira;3163003
31;Minas Gerais;149;Alto Saçui Gr and e - MG;TR ;São José do Jacuri;3163508
31;Minas Gerais;149;Alto Saçui Gr and e - MG;TR ;São Pedro do Suaçuí;3164100
31;Minas Gerais;63;Noroeste De Minas - MG;RC ;São Romão;3164209
31;Minas Gerais;149;Alto Saçui Gr and e - MG;TR ;São Sebastião do Maranhão;3164506
31;Minas Gerais;58;Médio Rio Doce - MG;TR ;Sardoá;3165503
31;Minas Gerais;99;Vale Do Mucuri - MG;RC ;Setubinha;3165552
31;Minas Gerais;5;Alto Jequitinhonha - MG;RC ;Senador Modestino Gonçalves;3165909
31;Minas Gerais;78;Serra do Brigadeiro - MG;TR ;Sericita;3166303
31;Minas Gerais;5;Alto Jequitinhonha - MG;RC ;Serra Azul de Minas;3166501
31;Minas Gerais;99;Vale Do Mucuri - MG;RC ;Serra dos Aimorés;3166709
31;Minas Gerais;79;Serra Geral - MG;RC ;Serranópolis de Minas;3166956
31;Minas Gerais;5;Alto Jequitinhonha - MG;RC ;Serro;3167103
31;Minas Gerais;58;Médio Rio Doce - MG;TR ;Sobrália;3167707
31;Minas Gerais;7;Alto Rio Pardo - MG;RC ;Taiobeiras;3168002
31;Minas Gerais;99;Vale Do Mucuri - MG;RC ;Teófilo Otoni;3168606
31;Minas Gerais;48;Sertão de Minas - MG;RC ;Três Marias;3169356
31;Minas Gerais;58;Médio Rio Doce - MG;TR ;Tumiritinga;3169505
31;Minas Gerais;5;Alto Jequitinhonha - MG;RC ;Turmalina;3169703
42;Santa Catarina;33;Meio Oeste Contestado - SC;RC ;Ouro;4211801
42;Santa Catarina;33;Meio Oeste Contestado - SC;RC ;Ouro Verde;4211850
31;Minas Gerais;99;Vale Do Mucuri - MG;RC ;Umburatiba;3170305
31;Minas Gerais;38;Das Águas Emendadas - DF/GO/MG;RC ;Unaí;3170404
31;Minas Gerais;63;Noroeste De Minas - MG;RC ;Uruana de Minas;3170479
31;Minas Gerais;63;Noroeste De Minas - MG;RC ;Urucuia;3170529
31;Minas Gerais;7;Alto Rio Pardo - MG;RC ;Vargem Grande do Rio Pardo;3170651
31;Minas Gerais;63;Noroeste De Minas - MG;RC ;Varjão de Minas;3170750
31;Minas Gerais;63;Noroeste De Minas - MG;RC ;Vazante;3171006
31;Minas Gerais;79;Serra Geral - MG;RC ;Verdelândia;3171030
31;Minas Gerais;5;Alto Jequitinhonha - MG;RC ;Veredinha;3171071
31;Minas Gerais;58;Médio Rio Doce - MG;TR ;Mathias Lobato;3171501
31;Minas Gerais;57;Médio Jequitinhonha - MG;RC ;Virgem da Lapa;3171600
31;Minas Gerais;58;Médio Rio Doce - MG;TR ;Virgolândia;3171907
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Afonso Cláudio;3200102
32;Espírito Santo;64;Norte - ES;RC ;Águia Branca;3200136
32;Espírito Santo;64;Norte - ES;RC ;Água Doce do Norte;3200169
32;Espírito Santo;26;Caparaó - ES;RC ;Alegre;3200201
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Alfredo Chaves;3200300
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Alto Rio Novo;3200359
32;Espírito Santo;128;Sul Litorâneo - ES;TR ;Anchieta;3200409
32;Espírito Santo;221;Sul Capixaba - ES;NV ;Apiacá;3200508
32;Espírito Santo;108;Juparanã - ES;TR ;Aracruz;3200607
32;Espírito Santo;221;Sul Capixaba - ES;NV ;Atilio Vivacqua;3200706
32;Espírito Santo;72;Pólo Colatina - ES;TR ;Baixo Guandu;3200805
32;Espírito Santo;64;Norte - ES;RC ;Barra de São Francisco;3200904
32;Espírito Santo;64;Norte - ES;RC ;Boa Esperança;3201001
32;Espírito Santo;221;Sul Capixaba - ES;NV ;Bom Jesus do Norte;3201100
32;Espírito Santo;109;Das Montanhas e Águas do Espírito - ES;TR ;Brejetuba;3201159
32;Espírito Santo;221;Sul Capixaba - ES;NV ;Cachoeiro de Itapemirim;3201209
