codigo_uf;uf;codigo_do_territorio;territorio;tipo_rural_ou_cidadania;municipio;ibge
35;São Paulo;100;Vale Do Ribeira - SP;RC ;São Lourenço da Serra;3549953
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Sete Barras;3551801
35;São Paulo;12;Andradina - SP;TR ;Sud Mennucci;3552304
35;São Paulo;12;Andradina - SP;TR ;Suzanápolis;3552551
35;São Paulo;100;Vale Do Ribeira - SP;RC ;Tapiraí;3553500
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Taquarituba;3553807
35;São Paulo;89;Sudoeste Paulista - SP;RC ;Taquarivaí;3553856
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Tarabai;3553906
35;São Paulo;73;Pontal Do Paranapanema - SP;RC ;Teodoro Sampaio;3554300
35;São Paulo;151;Noroeste Paulista - SP;TR ;Três Fronteiras;3554904
35;São Paulo;151;Noroeste Paulista - SP;TR ;Turmalina;3555307
35;São Paulo;151;Noroeste Paulista - SP;TR ;Urânia;3555802
35;São Paulo;151;Noroeste Paulista - SP;TR ;Valentim Gentil;3556107
35;São Paulo;151;Noroeste Paulista - SP;TR ;Vitória Brasil;3556958
41;Paraná;146;Norte Pioneiro - PR;RC ;Abatiá;4100103
41;Paraná;101;Vale Do Ribeira - PR;RC ;Adrianópolis;4100202
41;Paraná;68;Paraná Centro - PR;RC ;Altamira do Paraná;4100459
41;Paraná;222;Entre Rios - PR;NV ;Altônia;4100509
42;Santa Catarina;237;Extremo Oeste - SC;NV ;Palma Sola;4212007
41;Paraná;222;Entre Rios - PR;NV ;Alto Piquiri;4100707
41;Paraná;88;Sudoeste Paranaense - PR;TR ;Ampére;4101002
41;Paraná;223;Oeste - PR;NV ;Anahy;4101051
41;Paraná;224;Vale do Iguaçu - PR;NV ;Antônio Olinto;4101309
41;Paraná;225;Vale do Ivai - PR;NV ;Apucarana;4101408
42;Santa Catarina;156;Serra Catarinense - SC;TR ;Palmeira;4212056
41;Paraná;225;Vale do Ivai - PR;NV ;Arapuã;4101655
41;Paraná;225;Vale do Ivai - PR;NV ;Ariranha do Ivaí;4101853
41;Paraná;225;Vale do Ivai - PR;NV ;Barbosa Ferraz;4102505
41;Paraná;88;Sudoeste Paranaense - PR;TR ;Barracão;4102604
